ticker,name,sector,industry,city,state,market_cap_cr,revenue_cr,profit_cr,revenue_growth_yoy,pe,eps,roe_pct,debt_to_equity,dividend_yield_pct
AVG.NS,AVG Logistics Limited,Industrials,Integrated Freight & Logistics,Delhi,Unknown,250.0334336,548.7489,21.3271,14.865835388711998,12.093955,13.73,,1.09016,75.0
ALMONDZ.NS,Almondz Global Securities Limited,Financial Services,Capital Markets,New Delhi,Unknown,249.183104,147.9611,17.3247,32.20680793878288,8.391813,1.71,,0.1884,
BALAJEE.NS,SHREE TIRUPATI BALAJEE L,Consumer Cyclical,Packaging & Containers,Indore,Unknown,248.7910912,567.3728,25.3714,8.39889035788251,19.303797,1.58,,0.6312,
ELGIRUBCO.NS,Elgi Rubber Company Limited,Consumer Cyclical,Auto Parts,Coimbatore,Unknown,247.5973632,383.9217,-4.3601,-0.6530547394276138,,-10.63,,1.83179,
DSFCL.NS,DCM SHRIRAM FINE CHEM LTD,Basic Materials,Specialty Chemicals,New Delhi,Unknown,245.4049536,,,,,,,0.04718,
AERONEU.NS,Aeroflex Neu Limited,Consumer Cyclical,Packaging & Containers,Udaipur,Unknown,241.3216,129.2353,0.2022,18.359700554819824,123.09211,0.76,,0.27163,
CLEDUCATE.NS,CL Educate Limited,Consumer Defensive,Education & Training Services,New Delhi,Unknown,233.759488,337.5585,-11.2485,14.112433496657678,,-4.09,-8.286999999999999,1.08961,
ALANKIT.NS,Alankit Limited,Technology,Information Technology Services,New Delhi,Unknown,233.7382912,301.0058,19.8568,27.71426837893833,11.051282,0.78,,0.07408000000000001,
DRCSYSTEMS.NS,DRC Systems India Limited,Technology,Information Technology Services,Gandhinagar,Unknown,227.9366656,65.3771,15.0749,37.107774259169936,11.984848,1.32,,0.04245,
ASMS.NS,Avio Smart Market Stack Limited,Technology,Information Technology Services,Hyderabad,Unknown,225.0822144,40.036,1.7463,-18.02285105860191,67.181816,0.11,,0.005620000000000001,
CCHHL.NS,Country Club Hospitality & Holidays Limited,Consumer Cyclical,Lodging,Hyderabad,Unknown,216.9177088,46.0144,4.3793,-12.125720200367047,26.01961,0.51,,0.07499,
AIRAN.NS,Airan Limited,Technology,Information Technology Services,Ahmedabad,Unknown,203.9076096,106.4984,18.4755,0.9496040630693311,24.343283,0.67,,0.0067800000000000004,
BASML.NS,Bannari Amman Spinning Mills Ltd,Consumer Cyclical,Textile Manufacturing,Coimbatore,Unknown,188.7742976,871.871,7.1909,-4.6135159890088016,10.451328,2.26,,0.95855,
AARVI.NS,Aarvi Encon Limited,Industrials,Staffing & Employment Services,Mumbai,Unknown,183.8156032,504.0768,10.0445,26.093500595225738,11.577425,10.72,,0.24178,164.0
BYKE.NS,The Byke Hospitality Limited,Consumer Cyclical,Lodging,Mumbai,Unknown,183.5003392,96.6405,4.5946,15.242205331355402,31.909088,1.1,,0.45915,
ARVEE.NS,Arvee Laboratories (India) Ltd.,Basic Materials,Specialty Chemicals,Ahmedabad,Unknown,180.606784,38.438382,2.14731,26.682893569629947,87.17553,1.88,,0.0329,
ASPINWALL.NS,Aspinwall and Company Limited,Consumer Defensive,Farm Products,Mangalore,Unknown,179.664256,331.59,14.53,14.254703328509407,19.08638,12.04,,0.43707999999999997,283.0
BRNL.NS,Bharat Road Network Limited,Industrials,Infrastructure Operations,Kolkata,Unknown,170.0827008,274.2863,141.116,-27.766569288434884,6.158055,3.29,,0.77326,
BHARATGEAR.NS,Bharat Gears Limited,Consumer Cyclical,Auto Parts,Mumbai,Unknown,168.4910592,633.0733,3.1881,-1.8340486626554056,12.789044,8.58,,0.64485,
DEVIT.NS,Dev Information Technology Limited,Technology,Information Technology Services,Ahmedabad,Unknown,163.8493056,170.0743,14.8729,4.136452225005464,2.4428573,11.9,,0.18230000000000002,72.0
EMMBI.NS,Emmbi Industries Limited,Consumer Cyclical,Packaging & Containers,Mumbai,Unknown,160.4252032,404.28,6.609,7.113050528173212,22.0,3.79,,0.84014,35.0
ARCHIDPLY.NS,Archidply Industries Limited,Basic Materials,Lumber & Wood Production,New Delhi,Unknown,160.0037376,555.7119,-7.358,27.64742134530656,33.60924,2.38,,1.78165,
BAIDFIN.NS,Baid Finserv Limited,Financial Services,Credit Services,Jaipur,Unknown,159.2249728,80.9019,13.4459,27.802061529955374,7.558823,1.36,7.272,,94.0
AKSHARCHEM.NS,AksharChem (India) Limited,Basic Materials,Specialty Chemicals,Ahmedabad,Unknown,158.7822336,346.2652,4.7704,14.639509745172107,,-4.83,,0.28443,38.0
AMJLAND.NS,AMJ Land Holdings Limited,Real Estate,Real Estate - Development,Mumbai,Unknown,157.6039936,77.6458,20.4669,37.52721025177785,7.8770485,4.88,,,53.0
